                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8685,                 4.7171,                 1.8733,                      0,                      0,                      0,                      0,                      0,                 35.538,                      0,                      0,                      0,                      0
                      2,                 2.2809,                 4.6652,                 1.8605,                      0,                      0,                      0,                      0,                      0,                 35.541,                      0,             5.7636e-06,             5.7636e-06,             5.7636e-06
                      3,                  2.455,                  4.423,                 1.8999,                      0,                      0,                      0,                      0,                      0,                 35.544,                      0,             1.1294e-05,             1.1294e-05,             1.1294e-05
                      4,                  2.364,                 4.4792,                 1.8182,                      0,                      0,                      0,                      0,                      0,                 35.547,                      0,             1.6592e-05,             1.6592e-05,             1.6592e-05
                      5,                  2.107,                 4.3372,                 1.6882,                      0,                      0,                      0,                      0,                      0,                 35.549,                      0,             2.1657e-05,             2.1657e-05,             2.1657e-05
                      6,                   2.21,                 4.5333,                 1.6825,                      0,                      0,                      0,                      0,                      0,                 35.551,                      0,             2.6489e-05,             2.6489e-05,             2.6489e-05
                      7,                 2.1741,                 4.2296,                 1.8186,                      0,                      0,                      0,                      0,                      0,                 35.553,                      0,             3.1089e-05,             3.1089e-05,             3.1089e-05
                      8,                 2.0112,                 4.3391,                 1.5791,                      0,                      0,                      0,                      0,                      0,                 35.556,                      0,             3.5455e-05,             3.5455e-05,             3.5455e-05
                      9,                 2.2619,                 4.2309,                 1.7551,                      0,                      0,                      0,                      0,                      0,                 35.557,                      0,             3.9589e-05,             3.9589e-05,             3.9589e-05
                     10,                 2.0248,                 4.3601,                 1.6271,                      0,                      0,                      0,                      0,                      0,                 35.559,                      0,              4.349e-05,              4.349e-05,              4.349e-05
                     11,                 2.2682,                 4.4273,                 1.7519,                      0,                      0,                      0,                      0,                      0,                  35.56,                      0,             4.7158e-05,             4.7158e-05,             4.7158e-05
                     12,                 1.9486,                 4.2332,                 1.6006,                      0,                      0,                      0,                      0,                      0,                 35.562,                      0,             5.0593e-05,             5.0593e-05,             5.0593e-05
                     13,                 1.7098,                 3.9559,                 1.4769,                      0,                      0,                      0,                      0,                      0,                 35.564,                      0,             5.3795e-05,             5.3795e-05,             5.3795e-05
                     14,                 1.5318,                 4.0961,                  1.371,                      0,                      0,                      0,                      0,                      0,                 35.567,                      0,             5.6764e-05,             5.6764e-05,             5.6764e-05
                     15,                 2.0785,                  4.525,                 1.5798,                      0,                      0,                      0,                      0,                      0,                 35.571,                      0,             5.9501e-05,             5.9501e-05,             5.9501e-05
                     16,                  1.849,                   4.05,                 1.5651,                      0,                      0,                      0,                      0,                      0,                 35.575,                      0,             6.2005e-05,             6.2005e-05,             6.2005e-05
                     17,                 1.5525,                 4.0461,                 1.3709,                      0,                      0,                      0,                      0,                      0,                 35.578,                      0,             6.4275e-05,             6.4275e-05,             6.4275e-05
                     18,                  1.805,                 4.0731,                 1.4587,                      0,                      0,                      0,                      0,                      0,                 35.578,                      0,             6.6313e-05,             6.6313e-05,             6.6313e-05
                     19,                  1.661,                 3.8805,                 1.4622,                      0,                      0,                      0,                      0,                      0,                 35.585,                      0,             6.8119e-05,             6.8119e-05,             6.8119e-05
                     20,                 1.5927,                 3.8591,                 1.3417,                      0,                      0,                      0,                      0,                      0,                 35.585,                      0,             6.9691e-05,             6.9691e-05,             6.9691e-05
                     21,                 1.7625,                 4.0368,                  1.375,                      0,                      0,                      0,                      0,                      0,                 35.596,                      0,              7.103e-05,              7.103e-05,              7.103e-05
                     22,                 1.7459,                 3.8612,                  1.413,                      0,                      0,                      0,                      0,                      0,                 35.596,                      0,             7.2137e-05,             7.2137e-05,             7.2137e-05
                     23,                 1.7407,                 3.8548,                 1.3979,                      0,                      0,                      0,                      0,                      0,                 35.612,                      0,             7.3011e-05,             7.3011e-05,             7.3011e-05
                     24,                 1.6761,                 3.7769,                 1.3551,                      0,                      0,                      0,                      0,                      0,                 35.612,                      0,             7.3652e-05,             7.3652e-05,             7.3652e-05
                     25,                 1.6062,                  3.858,                 1.3615,                      0,                      0,                      0,                      0,                      0,                 35.629,                      0,              7.406e-05,              7.406e-05,              7.406e-05
                     26,                 1.7268,                 3.7883,                 1.4085,                      0,                      0,                      0,                      0,                      0,                 35.629,                      0,             7.4235e-05,             7.4235e-05,             7.4235e-05
                     27,                 1.6835,                 3.7803,                 1.3413,                      0,                      0,                      0,                      0,                      0,                 35.659,                      0,             7.4177e-05,             7.4177e-05,             7.4177e-05
                     28,                 1.7401,                 3.7092,                 1.3977,                      0,                      0,                      0,                      0,                      0,                 35.659,                      0,             7.3887e-05,             7.3887e-05,             7.3887e-05
                     29,                 1.7497,                 3.7118,                 1.4206,                      0,                      0,                      0,                      0,                      0,                 35.699,                      0,             7.3364e-05,             7.3364e-05,             7.3364e-05
                     30,                 1.5399,                 3.6538,                 1.3248,                      0,                      0,                      0,                      0,                      0,                 35.699,                      0,             7.2607e-05,             7.2607e-05,             7.2607e-05
                     31,                 1.7675,                  3.721,                 1.4682,                      0,                      0,                      0,                      0,                      0,                 35.754,                      0,             7.1618e-05,             7.1618e-05,             7.1618e-05
                     32,                  1.592,                 3.2176,                 1.3758,                      0,                      0,                      0,                      0,                      0,                 35.754,                      0,             7.0397e-05,             7.0397e-05,             7.0397e-05
                     33,                 1.5729,                 3.4374,                 1.2761,                      0,                      0,                      0,                      0,                      0,                 35.811,                      0,             6.8942e-05,             6.8942e-05,             6.8942e-05
                     34,                 1.4587,                 3.0047,                 1.2413,                      0,                      0,                      0,                      0,                      0,                 35.811,                      0,             6.7254e-05,             6.7254e-05,             6.7254e-05
                     35,                 1.6462,                 3.2527,                 1.3656,                      0,                      0,                      0,                      0,                      0,                 35.877,                      0,             6.5334e-05,             6.5334e-05,             6.5334e-05
                     36,                 1.5269,                 3.3348,                 1.3151,                      0,                      0,                      0,                      0,                      0,                 35.877,                      0,             6.3181e-05,             6.3181e-05,             6.3181e-05
                     37,                 1.8076,                 3.4423,                 1.4513,                      0,                      0,                      0,                      0,                      0,                 35.968,                      0,             6.0794e-05,             6.0794e-05,             6.0794e-05
                     38,                 1.5514,                 3.2146,                 1.2748,                      0,                      0,                      0,                      0,                      0,                 35.968,                      0,             5.8176e-05,             5.8176e-05,             5.8176e-05
